,Category,Count_Total,Total_views_all,Avg_ratings_all
0,3D,40.0,2807189.0,23.883333333333336
1,60fps,315.0,118646399.0,74.53726263994955
2,69,501.0,81423980.0,77.06358768406962
3,Amateur,76886.0,25613377060.0,61.41538121096708
4,Anal,33894.0,11806648640.0,77.9664993809605
5,Animated,134.0,11882490.0,68.2221269296741
6,Arab,1778.0,1006316721.0,74.94500615146377
7,Asian,17264.0,5756500703.0,75.13459553309958
8,BBC,17.0,6806566.0,76.09401709401709
9,BBW,5057.0,1770714279.0,73.44180955148697
10,BDSM,2542.0,771501858.0,0.0
11,Babes,20744.0,7739066819.0,38.84461856380769
12,Babysitter,611.0,615217365.0,38.24976471414524
13,Bareback,879.0,26749610.0,70.21013980581536
14,Bathroom,685.0,71498451.0,75.15694444444445
15,Beach,1068.0,420333000.0,71.5
16,Bear,1.0,146340.0,26.333333333333332
17,Behind The Scenes,591.0,133282881.0,71.47887495037989
18,Big Ass,9668.0,4835685152.0,77.77071050695412
19,Big Boobs,35126.0,13309635580.0,39.03930273794523
20,Big Dick,10546.0,4325148782.0,76.29645445966149
21,Bikini,313.0,34903675.0,76.15132694299761
22,Bisexual,761.0,231814474.0,37.57575757575757
23,Black,4152.0,1476013044.0,25.92826734780758
24,Black-haired,3797.0,463281307.0,79.40312880946306
25,Blonde,23684.0,6732509784.0,38.90536331490362
26,Blowjob,24491.0,6332590078.0,38.66938160190491
27,Bondage,2300.0,717486818.0,72.4042528447415
28,Boots,136.0,11060103.0,75.37845616198992
29,Brazilian,827.0,297257810.0,77.56762465289047
30,British,1815.0,629141356.0,74.54278877684867
31,Brunette,21557.0,6568149677.0,38.882212840702444
32,Bukkake,1015.0,305757801.0,76.16846679586276
33,CFNM,244.0,13111247.0,65.73562003298845
34,Car,200.0,13857829.0,77.73610294117647
35,Cartoon,382.0,122938072.0,37.18446226975639
36,Casting,880.0,469635853.0,75.65990281061204
37,Caucasian,8638.0,870610639.0,78.19231299694611
38,Celebrities,2157.0,989326676.0,36.08304673685745
39,Censored,203.0,8596826.0,60.33515097050656
40,Chinese,97.0,31054116.0,0.0
41,Chubby,436.0,10285617.0,67.35233481900896
42,Close-ups,1337.0,481400471.0,0.0
43,College,1316.0,837936862.0,76.30339341333978
44,Compilation,4418.0,2920647355.0,76.82035081912466
45,Cosplay,284.0,133828631.0,75.92751487921578
46,Cougar,1.0,271882.0,27.333333333333332
47,Couple,9408.0,458448910.0,67.64266090267807
48,Cowgirl,2.0,490413.0,56.333333333333336
49,Creampie,4932.0,2594746823.0,75.61555264421855
50,Cuckold,1842.0,640118788.0,72.97445535296868
51,Cumshots,13400.0,5031514765.0,77.49926818657768
52,Czech,970.0,364876569.0,74.72280148338065
53,Danish,76.0,22801396.0,0.0
54,Deepthroat,93.0,4952473.0,67.52844551282051
55,Described Video,49.0,19416570.0,69.2125626566416
56,Doctor,2.0,108884.0,24.333333333333332
57,Doggy Style,1.0,35947.0,26.333333333333332
58,Domination,132.0,5330734.0,63.384268649988734
59,Double Penetration,4864.0,1836404520.0,79.17798531537255
60,Ebony,5104.0,2193620883.0,76.7584241443143
61,Emo,93.0,25314787.0,0.0
62,Euro,6018.0,2083512170.0,78.34523680239776
63,Exclusive,5228.0,2586760720.0,77.26875707541939
64,Face Sitting,278.0,80254040.0,13.333333333333334
65,Facial,3148.0,1074886455.0,36.24333333333333
66,Fake Tits,25.0,2915803.0,55.36549707602339
67,Fat,137.0,4401943.0,66.71932294285236
68,Female Orgasm,13.0,640032.0,56.121212121212125
69,Femdom,1404.0,371546943.0,64.1260005717553
70,Fetish,5136.0,1524215511.0,74.92113937155484
71,Fingering,1499.0,528855549.0,0.0
72,Fisting,630.0,200896815.0,76.95076813297236
73,Flashing,1346.0,458416403.0,0.0
74,Foot Fetish,355.0,93646419.0,43.04930254930255
75,For Women,2111.0,1533895270.0,77.07727151090785
76,French,2709.0,952734306.0,74.78867778538108
77,Funny,1544.0,719600671.0,75.43094611504573
78,Gagging,26.0,203730.0,65.75757575757575
79,Gangbang,4217.0,1583548656.0,73.73267502985136
80,Gaping,278.0,81243185.0,0.0
81,Gay,4955.0,645541857.0,55.449719311277036
82,German,4870.0,1634274345.0,71.25163823870459
83,Glamour,593.0,27564108.0,75.13810215444202
84,Glasses,23.0,1699111.0,73.87777777777778
85,Glory Hole,23.0,332854.0,71.8821548821549
86,Gothic,37.0,8938174.0,0.0
87,Grannies,3032.0,1242029701.0,36.46296296296296
88,Group Sex,5838.0,2238299011.0,63.504684983955805
89,Gym,27.0,1757363.0,53.79824561403509
90,HD,52368.0,22133814842.0,75.5945902777021
91,Hairy,3896.0,1533830722.0,73.46625891946992
92,Handjob,3554.0,1381031479.0,36.97457818747832
93,Hardcore,28199.0,10943142961.0,77.53865787525982
94,Hentai,283.0,57696937.0,70.25009534706332
95,Hidden Cams,3365.0,1295108147.0,0.0
96,High Heels,249.0,26609304.0,72.87616087190115
97,Hospital,14.0,1714791.0,77.06060606060606
98,Hunks,4.0,532256.0,55.22222222222223
99,Indian,2049.0,939104920.0,72.88675561441288
100,Interracial,9615.0,3630208680.0,76.76626006615315
101,Italian,1449.0,783969439.0,78.66100470153486
102,Japanese,7682.0,2800910632.0,71.59306177291727
103,Kissing,116.0,11713952.0,77.39045183290706
104,Korean,723.0,299662739.0,77.51393142933745
105,Ladyboys,280.0,76562874.0,0.0
106,Latex,174.0,39242487.0,75.83333333333333
107,Latin,5155.0,2071992812.0,72.59207824612497
108,Lesbians,14370.0,4838885683.0,37.949189271948626
109,Lingerie,603.0,159493250.0,69.69000034517276
110,MILF,20262.0,8677352229.0,38.042547449149346
111,Maid,6.0,185006.0,52.416666666666664
112,Massage,2803.0,1531479789.0,75.8572378251184
113,Masturbation,19074.0,3777010155.0,66.47240620199418
114,Mature,22507.0,10701496232.0,36.924806915218575
115,Men,1993.0,604002786.0,0.0
116,Midgets,126.0,47841499.0,25.25
117,Muscular,52.0,1603507.0,77.51058201058201
118,Music,613.0,387524532.0,77.4580772788846
119,Natural Tits,27.0,1699541.0,55.587878787878786
120,Nipples,850.0,331476105.0,0.0
121,None,59096.0,3804491003.0,74.92805907733212
122,Nurse,4.0,113482.0,39.333333333333336
123,Office,32.0,1737253.0,60.96296296296296
124,Oral Sex,495.0,10215365.0,63.84546646014536
125,Orgy,6530.0,3282752620.0,79.48282212261456
126,Oriental,5.0,334727.0,25.733333333333334
127,Outdoor,146.0,5454923.0,72.43033509700176
128,POV,13215.0,7509237442.0,77.64060276581432
129,Pantyhose,12.0,3611249.0,58.02777777777777
130,Parody,304.0,164131530.0,75.18020080321286
131,Party,1625.0,835156450.0,73.46194486185901
132,Peeing,854.0,171897975.0,75.62125369957178
133,Piercings,27.0,4021072.0,52.65333333333333
134,Police,2.0,11287.0,22.333333333333332
135,Pool,11.0,394401.0,51.285714285714285
136,Pornstars,57085.0,32448952824.0,39.67016867995916
137,Pregnant,5.0,298216.0,70.33333333333333
138,Public,8524.0,3039528630.0,38.21938810395915
139,Pussy Licking,1695.0,808769079.0,75.36925122249983
140,Reality,6742.0,4699268050.0,78.0905881261035
141,Redhead,5015.0,1932615898.0,47.5724617303669
142,Rimming,6.0,515210.0,83.41666666666667
143,Romantic,55.0,391548.0,55.493806306306304
144,Rough Sex,5519.0,3196829000.0,78.49322718630621
145,Russian,2226.0,891869758.0,76.53479845693194
146,School,723.0,400440442.0,76.86859886201991
147,Secretary,4.0,316173.0,51.5
148,Sex Toys,2190.0,691724845.0,0.0
149,Shaved,147.0,11005279.0,77.21815363750848
150,Shemale,1845.0,607246563.0,11.75
151,Showers,416.0,139333934.0,0.0
152,Skinny,51.0,636480.0,61.08627450980392
153,Small Tits,11565.0,4473097729.0,76.24026649272673
154,Smoking,640.0,83540350.0,76.86661097187412
155,Softcore,581.0,190513610.0,0.0
156,Spanking,460.0,131391827.0,72.66666666666667
157,Spectacular,6.0,641201.0,51.22222222222222
158,Spycam,81.0,698209.0,36.55571428571429
159,Squirting,3739.0,2166643684.0,77.91894347937887
160,Stockings,2852.0,1065534293.0,53.86111111111111
161,Straight,15.0,339372.0,54.5
162,Strap-on,612.0,163705929.0,13.4375
163,Striptease,2349.0,508486752.0,76.24142762477568
164,Swallow,9.0,128682.0,46.125
165,Swedish,80.0,24696871.0,0.0
166,Swingers,758.0,366497421.0,0.0
167,Tattoos,35.0,2191594.0,77.08653846153847
168,Teen,42621.0,18471335787.0,38.48640133541503
169,Thai,183.0,68001777.0,0.0
170,Threesome,13981.0,5844695936.0,37.96012739622903
171,Tits,3313.0,1260235636.0,0.0
172,Toilet,3.0,168800.0,50.333333333333336
173,Toys,8620.0,2028141136.0,78.03745628304982
174,Transgender,338.0,3604173.0,63.09971547454243
175,Tribbing,5.0,25212.0,32.5
176,Trimmed,3.0,81058.0,27.88888888888889
177,Turkish,543.0,211690242.0,0.0
178,Twink,2.0,325422.0,57.0
179,Uniform,14.0,180991.0,51.22222222222223
180,Uniforms,1903.0,751508830.0,76.34381551362684
181,Upskirts,933.0,319426213.0,0.0
182,Vaginal Sex,196.0,6745017.0,66.3854895104895
183,Vintage,6913.0,2629770980.0,76.90714772316524
184,Virtual Reality,109.0,57314130.0,68.14168746550688
185,Voyeur,2235.0,769664639.0,0.0
186,Webcam,6927.0,1917870043.0,37.9666473949839
187,Young & Old,5953.0,2780369751.0,33.72955768375921
